,Student Name,Department,Physics,Mathematics,Chemistry,AI,Term Work,DOB
45,Homer Moore,COMPUTER,96.0,24.0,51.0,50.0,1,2002-11-24
46,Victor Ruhland,COMPUTER,76.0,,92.0,37.0,9,2003-6-10
47,Tommy Hayden,MECHANICAL,97.0,76.0,275.0,19.0,10,2003-1-21
48,Glen Baldrige,MECHANICAL,87.0,68.0,21.0,,5,2003-6-9
49,Lucille Rasmussen,COMPUTER,22.0,47.8,50.0,95.0,9,2001-10-21
50,Nicole Fowler,MECHANICAL,,81.0,44.0,,8,2002-12-21
51,James Anderson,MECHANICAL,57.0,87.0,59.1,25.3,5,2001-3-3
52,Felix Erickson,ENTC,43.0,70.0,49.0,81.0,7,2001-3-16
53,Aaron Walls,COMPUTER,,60.0,67.6,67.0,9,2002-3-12
54,Marion Harden,ENTC,79.0,21.0,261.0,27.4,8,2003-5-20
55,Phyllis Mckinney,ENTC,52.0,21.0,53.0,88.0,6,2001-5-25
56,Mary Rose,COMPUTER,33.0,73.0,42.0,70.0,9,2003-6-14
57,Isabelle Smith,COMPUTER,91.0,93.0,42.0,95.0,7,2001-4-7
58,Willard Payne,COMPUTER,20.0,30.0,65.9,63.0,7,2003-8-27
59,Christina Lemon,MECHANICAL,84.0,26.0,44.0,53.0,5,2003-6-13
60,Curtis Tang,COMPUTER,,69.0,93.0,,10,2001-10-8
61,Eileen Goulet,COMPUTER,78.0,,69.6,46.0,7,2001-11-15
62,Luis Laverriere,COMPUTER,48.0,,88.0,32.3,8,2003-4-11
63,Janice Peterson,MECHANICAL,40.0,98.0,56.4,85.0,9,2002-10-22
64,Marvin Finney,COMPUTER,76.0,,68.6,58.0,5,2001-4-24
65,Crystal Cornish,COMPUTER,62.0,80.0,85.0,92.0,2,2003-10-20
66,Robert Dixon,MECHANICAL,43.0,87.0,53.0,92.0,5,2002-12-8
67,Michael Reese,MECHANICAL,47.0,70.0,185.0,89.0,6,2001-2-17
68,George Glass,COMPUTER,26.0,60.0,50.0,39.0,7,2001-10-6
69,John White,COMPUTER,30.0,58.0,46.0,90.0,5,2002-10-2
70,Donald Hathaway,COMPUTER,73.0,12.0,294.0,81.0,8,2001-8-9
71,Norma Torres,COMPUTER,52.0,88.0,97.0,88.0,7,2001-8-29
72,Walter Dalbec,MECHANICAL,78.0,57.0,50.0,63.0,5,2002-4-15
73,Sharon Hall,MECHANICAL,37.0,63.0,187.0,72.0,10,2002-7-21
74,Alicia Carroll,ENTC,49.0,,63.9,93.0,2,2001-9-18
75,Erica Stanley,COMPUTER,,70.0,34.0,98.0,5,2001-11-2
76,Sarah Green,COMPUTER,70.0,27.0,97.0,27.2,7,2002-2-25
77,Gonzalo Dotson,COMPUTER,59.0,19.0,9.0,96.0,1,2001-9-4
78,Rose Langlinais,COMPUTER,59.0,97.0,72.6,99.0,10,2001-11-10
79,Pamela Mcfadden,ENTC,45.0,97.0,18.0,64.0,5,2002-12-16
80,Raul Burke,ENTC,,42.2,283.0,75.0,5,2001-1-14
81,Emma Cash,ENTC,69.0,,50.0,34.5,4,2002-12-28
82,Patrick Igtanloc,COMPUTER,50.0,5.0,57.0,72.0,4,2002-6-26
83,Christine Nugent,ENTC,12.0,58.0,29.0,28.5,7,2001-9-16
84,Vernon Cousins,COMPUTER,63.0,72.0,13.0,51.0,9,2001-12-18
85,Jack Maisenbacher,COMPUTER,41.0,60.0,63.1,54.0,3,2002-11-29
86,Ronald Gilchrest,ENTC,44.0,96.0,93.0,94.0,1,2003-4-23
87,Jermaine Quinlan,COMPUTER,57.0,28.0,41.0,,10,2003-2-19
88,Kali James,MECHANICAL,92.0,66.0,40.0,85.0,9,2002-10-21
89,Angela Mahan,ENTC,74.0,59.0,63.5,,7,2001-8-3
90,Brett Driscoll,COMPUTER,,56.0,161.0,87.0,8,2002-4-24
91,Ashley Dalton,MECHANICAL,71.0,,99.0,71.0,6,2001-2-10
92,William Dunbar,COMPUTER,94.0,92.0,68.9,81.0,7,2003-5-3
93,Florence Seibert,COMPUTER,41.0,49.7,95.0,71.0,8,2003-8-1
94,Steven Applegate,COMPUTER,57.0,97.0,96.0,17.3,7,2002-11-29
95,Robert Hackman,ENTC,80.0,61.0,74.8,74.0,10,2002-9-10
96,Sarah Green,COMPUTER,98.0,3.0,69.5,91.0,9,2003-4-24
97,Barney Roberts,ENTC,92.0,3.0,56.5,66.0,3,2001-2-19
98,Sharita Chambers,MECHANICAL,89.0,,61.4,86.0,1,2002-2-20
99,Cynthia Gary,MECHANICAL,,56.0,80.0,8.9,4,2002-2-5
100,Roberta Treffert,MECHANICAL,72.0,57.0,1.0,74.0,7,2001-10-24
101,Douglas Murray,MECHANICAL,,15.0,50.0,48.0,1,2003-10-28
102,David Walker,COMPUTER,82.0,29.0,160.0,87.0,5,2003-2-4
103,Wayne Witherspoon,MECHANICAL,44.0,61.0,57.3,,6,2001-5-12
104,Aleta Manuel,ENTC,94.0,83.0,64.2,31.1,5,2003-8-27
105,Margaret Medina,COMPUTER,86.0,28.0,49.0,43.0,10,2002-4-21
106,Martha Miller,MECHANICAL,99.0,32.0,89.0,65.0,7,2001-12-29
107,Penny Pizarro,MECHANICAL,84.0,21.0,52.0,68.0,4,2002-10-3
108,Donny Toenges,COMPUTER,,22.0,27.0,66.0,6,2001-12-20
109,Estelle Jeannotte,COMPUTER,62.0,2.0,56.6,9.9,1,2002-3-24
110,Fermin Pugh,MECHANICAL,46.0,59.0,40.0,38.0,1,2001-1-29
111,Mary Applewhite,COMPUTER,50.0,77.0,12.0,92.0,10,2001-4-22
112,Mary Reeves,MECHANICAL,10.0,79.0,53.0,76.0,10,2001-5-26
113,Tonya Jackson,COMPUTER,,65.0,68.1,72.0,6,2001-4-12
114,Edward Hamilton,ENTC,48.0,35.0,12.0,57.0,9,2003-3-25
115,Ralph Brown,ENTC,78.0,67.0,239.0,54.0,5,2001-7-9
116,Judy Jewels,ENTC,76.0,59.0,85.0,78.0,4,2002-12-12
117,Wayne Cuevas,COMPUTER,18.0,,283.0,81.0,5,2003-11-6
118,Colleen Norris,COMPUTER,32.0,84.0,48.0,85.0,1,2001-11-1
119,Kim Cornwell,COMPUTER,50.0,7.0,64.0,85.0,5,2001-12-13
120,Sarah Bejjani,COMPUTER,47.0,48.3,68.7,,7,2001-1-10
121,Lisa Tureson,COMPUTER,46.0,81.0,95.0,75.0,10,2001-2-22
122,Dale Cross,MECHANICAL,,21.0,17.0,,7,2001-10-5
123,Karen Delgado,COMPUTER,,94.0,50.0,,8,2002-10-12
124,Hazel Tatum,ENTC,92.0,,68.1,50.0,9,2001-5-29
125,Rodney Craine,MECHANICAL,64.0,94.0,81.0,,9,2001-11-9
126,Betty Herman,COMPUTER,75.0,19.0,21.0,18.5,3,2001-4-27
127,Tina Manly,COMPUTER,69.0,39.1,47.0,56.0,1,2002-11-30
128,Cathie Brown,COMPUTER,60.0,28.0,80.0,59.0,6,2002-2-20
129,Jamie Watts,MECHANICAL,,100.0,9.0,12.8,2,2003-1-29
130,John Burdine,COMPUTER,85.0,68.0,44.0,,7,2001-6-9
131,Odell Robinson,MECHANICAL,26.0,83.0,17.0,81.0,7,2003-7-26
132,Linda Stannard,COMPUTER,62.0,68.0,191.0,22.2,10,2002-4-2
133,Antonio Roberts,MECHANICAL,59.0,31.0,69.8,98.0,4,2003-6-3
134,Shane Stewart,ENTC,48.0,56.0,72.5,10.6,2,2003-10-4
135,Ryan Davey,MECHANICAL,24.0,58.0,39.0,3.6,7,2002-4-4
136,Keith Quigley,ENTC,47.0,95.0,38.0,8.8,2,2001-6-30
137,Jessica Metz,ENTC,16.0,16.0,43.0,57.0,3,2002-4-29
138,Reina Arevalo,COMPUTER,82.0,56.0,58.2,,2,2001-9-20
139,Alex Carr,COMPUTER,89.0,63.0,26.0,87.0,7,2002-7-4
140,Maria Heath,MECHANICAL,38.0,56.0,77.0,17.2,3,2002-11-3
141,Tommy Cox,ENTC,,85.0,91.0,97.0,9,2001-1-22
142,Mark Sheeran,COMPUTER,48.0,36.0,14.0,13.1,5,2001-9-26
143,Jesse Hunt,COMPUTER,91.0,29.0,62.9,95.0,10,2001-3-12
144,Adelina Reyes,ENTC,72.0,46.1,60.4,87.0,9,2002-9-22
145,Michelle Schill,COMPUTER,46.0,100.0,44.0,22.2,3,2003-5-16
146,Edward Kays,MECHANICAL,55.0,28.0,63.3,79.0,2,2002-10-20
147,Carroll Sigman,COMPUTER,96.0,95.0,45.0,10.0,7,2003-1-14
148,Keenan Wilkinson,COMPUTER,,8.0,206.0,71.0,2,2002-4-8
149,Christine Johnson,ENTC,43.0,85.0,72.0,9.7,9,2002-12-5
150,Jessie Rollins,COMPUTER,93.0,88.0,223.0,82.0,6,2001-9-19
151,Frances Nix,ENTC,97.0,35.0,52.0,79.0,5,2001-5-17
152,Timothy Rice,ENTC,23.0,6.0,30.0,5.9,6,2002-7-24
153,Paul Merrell,ENTC,42.0,19.0,1.0,76.0,2,2001-10-1
154,Cyril Miramon,COMPUTER,72.0,19.0,55.0,1.7,6,2002-7-10
155,Dena Schlegel,COMPUTER,47.0,87.0,3.0,41.0,8,2001-8-18
156,Kenneth Yanes,MECHANICAL,75.0,11.0,73.8,72.0,6,2002-12-20
157,Gayle Hernandez,MECHANICAL,85.0,19.0,25.0,85.0,5,2001-1-5
158,Lori Paulo,COMPUTER,69.0,41.5,78.0,45.0,1,2003-7-8
159,Rachel Roekle,ENTC,,,65.3,32.5,1,2001-4-6
160,Laverne Price,MECHANICAL,49.0,96.0,60.6,58.0,8,2003-4-6
161,Tara Owens,ENTC,47.0,,61.7,,3,2003-10-22
162,Michele Welborn,ENTC,77.0,81.0,44.0,56.0,1,2002-11-16
163,Kenneth Romero,MECHANICAL,99.0,8.0,4.0,8.9,7,2003-2-18
164,Robert Abell,COMPUTER,97.0,36.0,76.0,4.6,3,2003-3-17
165,Kellie Morales,COMPUTER,60.0,38.1,73.7,83.0,7,2002-3-5
166,Thelma White,MECHANICAL,89.0,47.3,26.0,59.0,4,2003-10-11
167,Guadalupe Akins,MECHANICAL,37.0,5.0,5.0,46.0,8,2002-8-27
168,Alvin Lewis,MECHANICAL,,76.0,64.2,27.7,6,2001-10-19
169,Nina Bake,MECHANICAL,47.0,30.0,66.6,14.3,10,2001-6-22
170,Lisa Willie,ENTC,80.0,11.0,56.4,,4,2002-2-19
171,Frederick Miller,COMPUTER,81.0,45.8,39.0,25.9,2,2002-3-24
172,Alan Gamble,COMPUTER,72.0,89.0,17.0,91.0,9,2001-2-10
173,Michelle Blethen,COMPUTER,76.0,,1.0,58.0,5,2002-8-3
174,Adam Albaugh,MECHANICAL,55.0,76.0,159.0,69.0,4,2001-9-8
175,Elizabeth Owens,MECHANICAL,66.0,72.0,21.0,,10,2003-3-7
176,Samantha Hendrix,COMPUTER,,,22.0,,9,2001-12-17
177,Jeffrey Andrews,MECHANICAL,6.0,31.0,61.0,,6,2003-4-1
178,Patti Sullivan,MECHANICAL,75.0,40.0,7.0,75.0,1,2001-7-18
179,Bruce Stickel,COMPUTER,50.0,71.0,48.0,38.0,4,2003-10-26
180,Audrey Cutshall,COMPUTER,59.0,29.0,58.4,55.0,8,2002-9-17
181,Edward Cruz,MECHANICAL,60.0,63.0,57.8,,3,2001-11-30
182,Alice Bunn,MECHANICAL,6.0,60.0,57.3,6.8,6,2003-5-19
183,Travis Milewski,ENTC,6.0,91.0,98.0,,3,2001-1-2
184,Frances Wadusky,MECHANICAL,58.0,94.0,53.0,3.1,3,2003-4-20
185,Andrea Trevathan,COMPUTER,58.0,,74.3,79.0,8,2003-8-21
186,Gregory Wang,ENTC,60.0,,48.0,18.5,4,2001-11-17
187,Todd Slevin,ENTC,62.0,21.0,22.0,48.0,6,2001-11-26
188,Floyd Dutton,COMPUTER,82.0,60.0,39.0,44.0,4,2002-1-17
189,Harry Lynch,ENTC,3.0,82.0,45.0,64.0,8,2003-4-9
190,Timothy Lewis,MECHANICAL,63.0,89.0,72.7,76.0,9,2001-2-2
191,Dorothy Wiersma,COMPUTER,83.0,93.0,19.0,89.0,9,2003-12-13
192,John Brady,COMPUTER,28.0,77.0,41.0,59.0,8,2002-5-23
193,Charlene Tucker,COMPUTER,100.0,76.0,4.0,70.0,9,2002-5-17
194,Jaime Hyde,COMPUTER,,,47.0,97.0,1,2003-8-30
195,Philomena Winn,ENTC,37.0,90.0,55.0,82.0,2,2003-5-14
196,Elizabeth Cerny,ENTC,74.0,16.0,83.0,3.2,5,2003-11-6
197,Tyler Wormley,COMPUTER,48.0,76.0,50.0,69.0,5,2001-7-7
198,Anthony Williams,ENTC,50.0,28.0,63.1,,3,2002-10-7
199,Scott Currie,MECHANICAL,60.0,64.0,218.0,92.0,3,2001-8-29
200,Christopher Saunders,ENTC,15.0,62.0,65.9,,7,2001-9-8
201,Sara Ward,COMPUTER,47.0,,52.0,36.0,3,2003-8-16
202,Max Flowers,ENTC,42.0,75.0,70.7,83.0,6,2001-5-21
203,Anthony Delavega,COMPUTER,65.0,83.0,52.0,82.0,7,2001-11-20
204,Tony Prewitt,COMPUTER,81.0,64.0,35.0,56.0,3,2003-5-19
205,Mayra Decker,ENTC,91.0,29.0,185.0,10.1,7,2001-6-15
206,Theresa Destefano,ENTC,79.0,26.0,80.0,69.0,10,2002-3-26
207,John Cooney,MECHANICAL,10.0,68.0,46.0,90.0,6,2001-7-6
208,Linda Collins,MECHANICAL,41.0,95.0,15.0,,10,2003-12-21
209,Mark Pogozelski,ENTC,39.0,,57.2,77.0,4,2003-2-6
210,Tom Ferris,COMPUTER,63.0,,34.0,,9,2003-7-13
211,Barbara Chiles,ENTC,46.0,98.0,5.0,85.0,1,2002-11-24
212,Guadalupe Rich,COMPUTER,78.0,19.0,72.8,99.0,1,2003-10-19
213,Anna Smith,MECHANICAL,59.0,6.0,22.0,1.2,8,2001-6-1
214,Robert Kowalski,COMPUTER,88.0,86.0,14.0,68.0,10,2003-10-19
215,Karen Nebarez,COMPUTER,3.0,58.0,61.8,97.0,1,2001-9-23
216,Leonard Johnson,ENTC,37.0,89.0,72.3,2.6,3,2002-8-19
217,James Cockrell,ENTC,97.0,73.0,72.5,42.0,3,2003-6-4
218,Angel Lindner,COMPUTER,2.0,77.0,14.0,82.0,10,2001-11-5
219,Quinn Jacobsen,MECHANICAL,91.0,60.0,47.0,93.0,2,2001-5-20
220,Kenneth Rogers,ENTC,72.0,80.0,43.0,70.0,3,2003-11-3
221,Karen Cantrell,ENTC,75.0,100.0,85.0,,6,2002-4-8
222,Helen Hill,COMPUTER,42.0,85.0,5.0,66.0,4,2002-1-5
223,Violet Hernandez,COMPUTER,74.0,,74.8,90.0,6,2002-2-23
224,Gary Franke,COMPUTER,65.0,,92.0,57.0,4,2001-12-1
225,Jodi Whitted,COMPUTER,,8.0,61.3,18.9,6,2002-10-18
226,Donald Logie,COMPUTER,41.0,94.0,229.0,90.0,5,2003-3-18
227,Marcus Jorgensen,ENTC,41.0,58.0,65.4,63.0,8,2002-7-30
228,Mary Grant,MECHANICAL,,17.0,291.0,36.0,5,2001-10-7
229,Thomas Quisenberry,COMPUTER,60.0,48.1,34.0,92.0,4,2003-9-16
230,William Davis,ENTC,54.0,85.0,34.0,41.0,10,2001-4-29
231,James Cooper,ENTC,93.0,32.0,41.0,100.0,7,2001-9-5
232,Brett Milne,MECHANICAL,97.0,63.0,73.1,71.0,2,2001-11-13
233,Ellen White,COMPUTER,44.0,88.0,74.9,29.7,10,2001-4-1
234,Marvin Dobson,COMPUTER,8.0,14.0,13.0,67.0,5,2003-9-30
235,David Eskind,MECHANICAL,54.0,54.3,157.0,,9,2002-5-25
236,Mike Otano,COMPUTER,78.0,94.0,57.3,22.2,6,2001-9-17
237,Brian Hong,ENTC,93.0,3.0,247.0,18.7,2,2002-8-1
238,Regina Atkins,MECHANICAL,66.0,39.6,66.8,62.0,4,2003-1-12
239,Dominic Lawson,ENTC,66.0,37.4,48.0,,9,2003-5-2
240,Rita Hickman,ENTC,61.0,85.0,211.0,25.3,4,2003-3-21
241,Ruth Charlton,ENTC,30.0,22.0,26.0,91.0,3,2001-5-18
242,June Ivory,COMPUTER,68.0,82.0,92.0,74.0,4,2003-6-27
243,Thomas Deanda,MECHANICAL,,6.0,30.0,96.0,1,2003-12-29
244,Andres An,COMPUTER,92.0,70.0,71.2,74.0,2,2003-8-3
245,Lauren Hardin,COMPUTER,,60.0,40.0,66.0,5,2001-11-10
246,Herman Hunt,MECHANICAL,68.0,59.0,50.0,84.0,8,2003-4-13
247,Richard Davenport,ENTC,94.0,7.0,61.1,82.0,3,2003-11-15
248,Beth Ruesga,MECHANICAL,97.0,73.0,61.3,,9,2001-9-23
249,Vance Vandeusen,COMPUTER,45.0,95.0,70.8,87.0,4,2003-5-11
250,Marc Segura,COMPUTER,37.0,41.8,55.0,67.0,3,2002-2-9
251,Tonya Christman,COMPUTER,85.0,78.0,50.0,1.5,10,2001-10-16
252,John Specht,MECHANICAL,40.0,47.7,43.0,92.0,9,2003-8-30
253,Susan Riner,MECHANICAL,88.0,83.0,80.0,79.0,3,2002-4-3
254,Roger Ryan,COMPUTER,79.0,48.3,153.0,73.0,3,2002-11-2
255,Richard Moskowitz,MECHANICAL,14.0,99.0,293.0,78.0,2,2001-2-2
256,Terry Licata,COMPUTER,53.0,90.0,99.0,,5,2003-11-27
257,Ronald Bautista,COMPUTER,73.0,29.0,56.2,97.0,3,2003-4-23
258,Rebecca Castro,COMPUTER,,22.0,37.0,62.0,8,2002-4-11
259,Hattie Garcia,ENTC,39.0,60.0,39.0,51.0,3,2002-4-14
260,Gloria Jones,COMPUTER,54.0,16.0,37.0,85.0,9,2002-7-23
261,Sherri Averill,COMPUTER,81.0,56.0,37.0,60.0,3,2001-8-8
262,Robert Neville,MECHANICAL,,,60.3,9.7,6,2003-10-13
263,Corey Merrett,COMPUTER,74.0,6.0,82.0,88.0,5,2001-5-28
264,Cheryl Lekan,COMPUTER,99.0,,44.0,90.0,9,2001-5-22
265,Brandi Mente,ENTC,57.0,40.4,22.0,19.4,4,2003-4-30
266,Rudy Coleman,COMPUTER,,86.0,47.0,,6,2001-9-25
267,Ryan Suttles,COMPUTER,17.0,86.0,57.2,57.0,9,2002-3-13
268,Paul Hart,ENTC,60.0,96.0,182.0,14.0,8,2001-4-10
269,Billy Gonzalez,COMPUTER,62.0,66.0,48.0,99.0,10,2002-12-28
270,Kyle Wolfe,COMPUTER,97.0,2.0,220.0,33.3,3,2003-7-30
271,Daniel Horton,COMPUTER,71.0,,159.0,29.4,3,2001-7-12
272,Julie Grace,COMPUTER,63.0,77.0,60.2,10.5,7,2002-11-11
273,Brenda Lyons,COMPUTER,44.0,45.8,56.6,89.0,2,2003-10-18
274,Frank Cammarata,COMPUTER,61.0,,224.0,19.2,7,2003-1-10
275,Judy Harrison,COMPUTER,45.0,56.0,19.0,79.0,1,2001-1-16
276,Norman Crowell,COMPUTER,79.0,16.0,273.0,48.0,4,2002-3-20
277,Milton Templeton,COMPUTER,42.0,95.0,66.9,40.0,7,2002-7-15
278,Amy Porter,COMPUTER,98.0,90.0,63.6,79.0,6,2001-4-26
279,Scott Niemczyk,COMPUTER,,47.2,77.0,1.2,7,2002-1-3
280,Eric Hohman,ENTC,11.0,54.4,60.5,69.0,6,2002-4-6
281,Daniel Braun,ENTC,34.0,49.4,186.0,43.0,6,2001-3-26
282,Clyde Devins,COMPUTER,,,228.0,98.0,3,2003-8-16
283,Olivia Monroe,MECHANICAL,94.0,85.0,6.0,58.0,8,2001-7-6
284,Sarah Mach,COMPUTER,,48.6,52.0,73.0,3,2002-1-21
285,John Winokur,MECHANICAL,82.0,96.0,76.0,85.0,10,2002-4-27
286,Justin Kistner,COMPUTER,60.0,75.0,63.8,66.0,6,2003-7-13
287,Patricia Mason,MECHANICAL,77.0,99.0,16.0,97.0,7,2002-5-28
288,Karin Seipp,MECHANICAL,88.0,63.0,53.0,15.2,3,2003-8-14
289,Wayne Nash,MECHANICAL,80.0,58.0,56.5,98.0,2,2001-7-10
290,Melissa Anderson,COMPUTER,82.0,69.0,192.0,98.0,1,2001-4-16
291,Arthur Bardsley,ENTC,47.0,42.7,90.0,66.0,2,2003-11-3
292,Anita Sanders,COMPUTER,21.0,58.0,56.4,63.0,9,2002-5-26
293,Brandon Trevino,COMPUTER,39.0,93.0,22.0,87.0,1,2003-5-16
294,Scott Brock,COMPUTER,,43.1,44.0,56.0,8,2003-10-13
295,Martha White,COMPUTER,,100.0,11.0,27.4,9,2001-5-27
296,Julie Smith,COMPUTER,,61.0,49.0,23.6,9,2001-10-28
297,James White,ENTC,90.0,48.2,83.0,,4,2003-3-24
298,Carolyn Golden,COMPUTER,58.0,71.0,54.0,72.0,1,2001-4-13
299,George Rybij,ENTC,77.0,9.0,289.0,15.4,5,2001-11-15
300,Christopher Patterson,MECHANICAL,42.0,48.9,39.0,7.4,7,2002-3-28
301,Louis Alston,COMPUTER,39.0,,5.0,70.0,7,2003-12-12
302,Melissa Moore,ENTC,59.0,75.0,67.2,,4,2003-10-5
303,Maureen Hyder,COMPUTER,80.0,40.6,19.0,98.0,6,2002-4-8
304,Desiree Castellana,ENTC,73.0,68.0,36.0,71.0,3,2002-1-9
305,Mildred Crespo,COMPUTER,36.0,73.0,43.0,78.0,9,2002-2-22
306,Erin Gailey,COMPUTER,54.0,,98.0,5.2,9,2003-11-18
307,Thomas Defelice,MECHANICAL,100.0,71.0,60.9,,5,2001-5-26
308,Anthony Matthews,MECHANICAL,,3.0,232.0,49.0,4,2002-8-18
309,Alexandra Babonis,ENTC,,31.0,49.0,68.0,6,2002-9-13
310,George Posson,ENTC,70.0,40.2,79.0,34.1,7,2003-7-12
311,Timothy Neel,MECHANICAL,15.0,33.0,64.2,24.9,1,2001-10-20
312,Jacob Gordon,ENTC,93.0,63.0,54.0,100.0,8,2003-11-8
313,Arlene Rutherford,COMPUTER,45.0,54.9,64.4,,7,2002-4-24
314,Leon Jones,MECHANICAL,58.0,40.5,168.0,98.0,9,2003-9-21
315,Craig Olson,MECHANICAL,69.0,,21.0,,2,2003-4-24
316,Luis Tipton,MECHANICAL,64.0,69.0,65.6,56.0,3,2003-12-20
317,Jenifer Stinnett,MECHANICAL,57.0,73.0,93.0,17.5,5,2003-3-12
318,Edith North,COMPUTER,51.0,33.0,41.0,100.0,8,2003-9-13
319,David Moyer,MECHANICAL,36.0,98.0,26.0,74.0,9,2002-1-20
320,Maria Felix,COMPUTER,,93.0,42.0,93.0,9,2001-9-15
321,Debra Mensalvas,COMPUTER,53.0,68.0,49.0,51.0,10,2003-3-16
322,Matthew Honig,COMPUTER,24.0,64.0,55.0,54.0,6,2002-3-1
323,William Porte,ENTC,59.0,12.0,57.2,66.0,9,2003-9-22
324,John Ard,ENTC,7.0,77.0,36.0,76.0,6,2001-12-25
325,Nellie Sartori,COMPUTER,42.0,66.0,56.2,83.0,7,2001-3-24
326,Maya Garland,COMPUTER,,,31.0,93.0,10,2003-6-24
327,Donna Enriguez,COMPUTER,80.0,66.0,63.0,81.0,3,2002-2-15
328,Maya Labadie,COMPUTER,54.0,23.0,20.0,61.0,10,2002-6-26
329,Judy Kelly,COMPUTER,51.0,,43.0,64.0,3,2002-9-16
330,Richard Miller,COMPUTER,,36.7,4.0,55.0,1,2003-1-30
331,Juanita Sproull,ENTC,19.0,73.0,16.0,,10,2002-6-4
332,Everett Thompson,ENTC,63.0,64.0,34.0,67.0,6,2002-11-17
333,Melissa Evans,COMPUTER,87.0,16.0,64.5,58.0,10,2002-6-8
334,Jesse Vogel,COMPUTER,36.0,58.0,92.0,82.0,9,2001-9-12
335,Mary Sylva,COMPUTER,55.0,92.0,27.0,,7,2002-12-25
336,Jeff Douglas,COMPUTER,56.0,,38.0,89.0,2,2001-4-16
337,Tina Ryan,MECHANICAL,24.0,19.0,70.6,95.0,4,2001-9-23
338,David Drummond,COMPUTER,99.0,66.0,20.0,16.0,5,2001-7-15
339,Kenneth Mcknight,ENTC,,57.0,67.3,13.3,10,2003-11-28
